game_date,team_id_home,team_id_away,model_prob_home,consensus_prob_home,prob_delta,upset_alert,high_disagreement,high_confidence,high_uncertainty
2022-10-18,1610612738.0,1610612755.0,0.5796734893698351,0.6078431372549019,-0.0281696478850668,False,False,False,False
2022-10-18,1610612744.0,1610612747.0,0.6663382492094855,0.7560975609756098,-0.0897593117661242,False,False,False,False
2022-10-19,1610612765.0,1610612753.0,0.5549742549528448,0.6363636363636364,-0.0813893814107915,False,False,False,False
2022-10-19,1610612763.0,1610612752.0,0.7115381165109267,0.6491228070175439,0.0624153094933828,False,False,True,False
2022-10-19,1610612761.0,1610612739.0,0.5575027290768008,0.5918367346938775,-0.0343340056170767,False,False,False,False
2022-10-19,1610612737.0,1610612745.0,0.5863084776091347,0.8333333333333334,-0.2470248557241986,False,True,False,False
2022-10-19,1610612748.0,1610612741.0,0.6319189118372973,0.75,-0.1180810881627026,False,True,False,False
2022-10-19,1610612750.0,1610612760.0,0.7622541040349395,0.8666666666666667,-0.1044125626317271,False,True,True,False
2022-10-19,1610612762.0,1610612743.0,0.6685904211164532,0.3125,0.3560904211164531,True,True,False,False
2022-10-19,1610612756.0,1610612742.0,0.6209082298699187,0.6428571428571429,-0.0219489129872242,False,False,False,False
2022-10-19,1610612758.0,1610612757.0,0.6437020692320142,0.6153846153846154,0.0283174538473988,False,False,False,False
2022-10-20,1610612755.0,1610612749.0,0.5273957737801526,0.6363636363636364,-0.1089678625834837,False,True,False,True
2022-10-20,1610612747.0,1610612746.0,0.4179895879180719,0.3703703703703703,0.0476192175477015,False,False,False,False
2022-10-21,1610612751.0,1610612761.0,0.4070580068041849,0.5833333333333334,-0.1762753265291484,False,True,False,False
2022-10-21,1610612748.0,1610612738.0,0.4746505710608653,0.4651162790697674,0.0095342919910978,False,False,False,True
2022-10-21,1610612752.0,1610612765.0,0.696395398999018,0.726027397260274,-0.0296319982612559,False,False,False,False
2022-10-21,1610612737.0,1610612753.0,0.7517242322180836,0.8,-0.0482757677819164,False,False,True,False
2022-10-21,1610612745.0,1610612763.0,0.2803149016044632,0.303030303030303,-0.0227154014258398,False,False,True,False
2022-10-21,1610612750.0,1610612762.0,0.5904796178226405,0.7619047619047619,-0.1714251440821214,False,True,False,False
2022-10-21,1610612744.0,1610612743.0,0.6596235596298458,0.696969696969697,-0.0373461373398512,False,False,False,False
2022-10-21,1610612757.0,1610612756.0,0.1828122826996663,0.3636363636363636,-0.1808240809366973,False,True,True,False
2022-10-22,1610612754.0,1610612765.0,0.5268038852223429,0.5238095238095238,0.002994361412819,False,False,False,True
2022-10-22,1610612753.0,1610612738.0,0.2890882571362757,0.25,0.0390882571362756,False,False,True,False
2022-10-22,1610612748.0,1610612761.0,0.6032443602067836,0.6153846153846154,-0.0121402551778317,False,False,False,False
2022-10-22,1610612741.0,1610612739.0,0.5187269201032013,0.4878048780487805,0.0309220420544208,False,False,False,True
2022-10-22,1610612749.0,1610612745.0,0.7635788305553688,0.9090909090909092,-0.1455120785355402,False,True,True,False
2022-10-22,1610612742.0,1610612763.0,0.624903927174263,0.6551724137931034,-0.0302684866188404,False,False,False,False
2022-10-22,1610612743.0,1610612760.0,0.7672143408068879,0.8,-0.0327856591931121,False,False,True,False
2022-10-22,1610612758.0,1610612746.0,0.4181754795836431,0.4545454545454545,-0.0363699749618114,False,False,False,False
2022-10-23,1610612747.0,1610612757.0,0.6820775730239232,0.6296296296296297,0.0524479433942935,False,False,False,False
2022-10-23,1610612737.0,1610612766.0,0.6477839107039449,0.8333333333333334,-0.1855494226293884,False,True,False,False
2022-10-23,1610612760.0,1610612750.0,0.2926445854567175,0.2222222222222222,0.0704223632344953,False,False,True,False
2022-10-23,1610612744.0,1610612758.0,0.7563417203027479,0.8333333333333334,-0.0769916130305854,False,False,True,False
2022-10-23,1610612746.0,1610612756.0,0.4989558512601965,0.4761904761904761,0.0227653750697203,False,False,False,True
2022-10-24,1610612755.0,1610612754.0,0.7188060056003414,0.8888888888888888,-0.1700828832885474,False,True,True,False
2022-10-24,1610612752.0,1610612753.0,0.720770964908595,0.75,-0.0292290350914049,False,False,True,False
2022-10-24,1610612748.0,1610612761.0,0.5805192789379428,0.6296296296296297,-0.0491103506916869,False,False,False,False
2022-10-24,1610612763.0,1610612751.0,0.6413518384375445,0.5454545454545454,0.0958972929829991,False,False,False,False
2022-10-24,1610612741.0,1610612738.0,0.5233359275395315,0.3571428571428571,0.1661930703966743,False,True,False,True
2022-10-24,1610612745.0,1610612762.0,0.3811470381562342,0.4651162790697674,-0.0839692409135332,False,False,False,False
2022-10-24,1610612757.0,1610612743.0,0.235316775259943,0.3448275862068966,-0.1095108109469535,False,True,True,False
2022-10-25,1610612760.0,1610612746.0,0.3259789261689916,0.3448275862068966,-0.0188486600379049,False,False,False,False
2022-10-25,1610612756.0,1610612744.0,0.5999233805721551,0.5454545454545454,0.0544688351176096,False,False,False,False
2022-10-26,1610612739.0,1610612753.0,0.7410360374873265,0.7959183673469388,-0.0548823298596122,False,False,True,False
2022-10-26,1610612765.0,1610612737.0,0.3496824310226762,0.2857142857142857,0.0639681453083905,False,False,False,False
2022-10-26,1610612752.0,1610612766.0,0.640308732120691,0.75,-0.109691267879309,False,True,False,False
2022-10-26,1610612749.0,1610612751.0,0.6308902678849124,0.6153846153846154,0.015505652500297,False,False,False,False
2022-10-26,1610612761.0,1610612755.0,0.6059443700135021,0.5348837209302325,0.0710606490832695,False,False,False,False
2022-10-26,1610612741.0,1610612754.0,0.5928802301080046,0.7368421052631579,-0.1439618751551532,False,True,False,False
