game_id,game_date,season_id,season_type,team_id_home,team_id_away,wl_home,pts_home,pts_away,home_win,elo_home,elo_away,elo_prob
401322870,2021-05-05,22021,Preseason,16,20,L,80,87,0,1500.0,1500.0,0.5993967967092568
401323518,2021-05-08,22021,Preseason,3,18,L,76,89,0,1500.0,1500.0,0.5993967967092568
401322871,2021-05-08,22021,Preseason,8,16,W,79,68,1,1500.0,1488.012064065815,0.6158476748170624
401323519,2021-05-08,22021,Preseason,6,17,L,85,85,0,1500.0,1500.0,0.5993967967092568
401323520,2021-05-08,22021,Preseason,11,14,L,71,88,0,1500.0,1500.0,0.5993967967092568
401323454,2021-05-09,22021,Preseason,5,19,W,82,65,1,1500.0,1500.0,0.5993967967092568
401323455,2021-05-11,22021,Preseason,19,5,W,83,70,1,1491.987935934185,1508.012064065815,0.5770585777637436
401320568,2021-05-14,22021,Regular Season,6,3,L,71,94,0,1488.012064065815,1488.012064065815,0.5993967967092568
401320567,2021-05-14,22021,Regular Season,8,11,L,75,77,0,1507.6830465036587,1488.012064065815,0.626255884482681
401320566,2021-05-14,22021,Regular Season,20,18,L,67,78,0,1511.987935934185,1511.987935934185,0.5993967967092568
401320565,2021-05-14,22021,Regular Season,9,5,W,90,87,1,1500.0,1499.5532356210897,0.6000141756754326
401320569,2021-05-15,22021,Regular Season,16,19,L,56,70,0,1480.3290175621562,1500.4467643789103,0.5712971196189727
401320570,2021-05-15,22021,Regular Season,14,17,W,97,83,1,1511.987935934185,1511.987935934185,0.5993967967092568
401320571,2021-05-16,22021,Regular Season,5,9,L,65,73,0,1491.5535191345984,1507.9997164864913,0.5764654877577922
401320572,2021-05-16,22021,Regular Season,18,11,W,86,78,1,1523.9758718683702,1500.5371817554685,0.6313182615512098
401320573,2021-05-18,22021,Regular Season,9,8,W,86,75,1,1519.529026241647,1495.1579288140051,0.6325666631280444
401320574,2021-05-18,22021,Regular Season,16,11,L,70,91,0,1468.9030751697767,1493.1635469864927,0.5654468125543418
401320575,2021-05-18,22021,Regular Season,14,17,L,80,96,0,1520.0,1503.9758718683702,0.6213294022309049
401320577,2021-05-19,22021,Regular Season,18,5,W,88,67,1,1531.349506637346,1480.0242093794427,0.6678339459773763
401320576,2021-05-19,22021,Regular Season,20,19,L,77,85,0,1500.0,1511.8727067712898,0.5828800520631376
401320578,2021-05-20,22021,Regular Season,8,14,L,78,90,0,1487.809262076566,1507.573411955382,0.571795567159353
401320579,2021-05-21,22021,Regular Season,5,20,L,79,83,0,1473.3808882989902,1488.3423989587372,0.5785507768078667
401320580,2021-05-21,22021,Regular Season,16,9,W,101,72,1,1457.5941389186899,1526.877692979086,0.5010310471263713
401320581,2021-05-21,22021,Regular Season,11,18,L,67,84,0,1504.4724832375796,1537.9928277177985,0.5523063709727114
401320582,2021-05-21,22021,Regular Season,17,6,W,97,69,1,1516.4024599129882,1476.0241281316298,0.6537103394758869
401320583,2021-05-22,22021,Regular Season,3,14,L,97,100,0,1500.0,1519.0093232985691,0.5728591190411104
401320586,2021-05-23,22021,Regular Season,17,18,L,65,72,0,1523.3282531234704,1549.0389551372527,0.5633944118031896
401320585,2021-05-23,22021,Regular Season,5,16,W,89,77,1,1461.8098727628328,1467.5735179761625,0.5914044118126643
401320584,2021-05-23,22021,Regular Season,19,9,L,85,93,0,1523.5303078125526,1516.8983139216134,0.6085280676233538
401320588,2021-05-24,22021,Regular Season,9,3,W,88,81,1,1529.0688752740805,1488.5428176191779,0.6539028171459496
401320587,2021-05-25,22021,Regular Season,5,16,L,69,85,0,1469.9817845265795,1459.4016062124158,0.6139287149914724
401320589,2021-05-25,22021,Regular Season,19,20,L,83,90,0,1511.3597464600855,1499.9134144948946,0.61510982012513
401320590,2021-05-25,22021,Regular Season,14,18,W,90,87,1,1530.4665056793913,1560.3068433733165,0.5575383754666235
401320591,2021-05-26,22021,Regular Season,11,17,L,79,85,0,1493.4263558181253,1512.0603648874066,0.573387687411276
401320592,2021-05-27,22021,Regular Season,20,3,W,101,95,1,1512.2156108973973,1481.6208739620968,0.6408533517390954
401320594,2021-05-28,22021,Regular Season,19,6,L,61,76,0,1499.0575500575828,1469.0983349211476,0.640010909781885
401320595,2021-05-28,22021,Regular Season,14,8,W,82,72,1,1539.3157381700587,1476.3733507333789,0.682498524339835
401320593,2021-05-28,22021,Regular Season,18,16,W,86,81,1,1551.457610882649,1471.6801805122452,0.7031176283881814
401320596,2021-05-28,22021,Regular Season,17,5,W,113,77,1,1523.5281186356322,1457.7032102267501,0.6860832221561788
401320598,2021-05-29,22021,Regular Season,3,11,L,85,89,0,1474.4379409968788,1481.9586020698998,0.588958123786339
401320597,2021-05-29,22021,Regular Season,9,20,L,87,90,0,1535.9908189311616,1519.3985438626153,0.6220985807951414
401320599,2021-05-30,22021,Regular Season,19,6,L,79,82,0,1486.2573318619452,1481.8985531167853,0.6054063868911782
401320600,2021-05-30,22021,Regular Season,17,5,W,101,78,1,1529.8064541925087,1451.4248746698736,0.7014376095455714
401320601,2021-05-30,22021,Regular Season,8,18,W,79,74,1,1470.0233212201756,1557.3952583148855,0.4750205859687248
401320602,2021-06-01,22021,Regular Season,18,17,W,74,67,1,1546.89567003426,1535.7777020015972,0.6146622150393638
