game_id,game_date,season_id,season_type,team_id_home,team_id_away,wl_home,pts_home,pts_away,home_win,elo_home,elo_away,elo_prob,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_diff
401320612,2021-06-05,22021,Regular Season,6,19,W,68,63,1,1491.917361658348,1455.8369696281384,0.6480885651824555,2.0,2.0,0,0,0.0
401320613,2021-06-05,22021,Regular Season,18,9,W,85,64,1,1554.6024257334727,1511.686241418063,0.657009968464625,4.0,2.0,0,0,2.0
401320614,2021-06-06,22021,Regular Season,8,20,W,100,80,1,1489.9857046442212,1522.3777203350978,0.5539118450053461,2.0,2.0,0,0,0.0
401320615,2021-06-06,22021,Regular Season,14,3,L,67,68,0,1557.0668685968076,1465.6082984383384,0.716959679643223,2.0,2.0,0,0,0.0
401320616,2021-06-08,22021,Regular Season,16,8,W,85,81,1,1455.8631544564205,1498.9074677441142,0.5387147030690124,3.0,2.0,0,0,1.0
401320619,2021-06-08,22021,Regular Season,11,3,L,81,85,0,1512.04999904161,1479.9474920312027,0.6428485587390829,5.0,2.0,0,0,3.0
401320618,2021-06-09,22021,Regular Season,19,5,W,92,76,1,1448.7987409317875,1433.192325226314,0.6207634978001906,4.0,6.0,0,0,-2.0
401320617,2021-06-09,22021,Regular Season,20,14,L,71,95,0,1513.4559572352048,1542.7276750039432,0.5583456959516621,3.0,3.0,0,0,0.0
401320620,2021-06-10,22021,Regular Season,16,6,W,89,71,1,1465.0888603950402,1498.9555903546989,0.5518132863074967,2.0,5.0,0,0,-3.0
401320621,2021-06-11,22021,Regular Season,20,14,L,75,86,0,1502.2890433161715,1553.8945889229765,0.526447041942199,2.0,2.0,0,0,0.0
401320622,2021-06-11,22021,Regular Season,11,3,L,59,77,0,1499.1930278668283,1492.8044632059843,0.6081941989679831,3.0,3.0,0,0,0.0
401320623,2021-06-12,22021,Regular Season,5,19,L,79,83,0,1425.6075951823177,1456.3834709757837,0.5562094485581748,3.0,3.0,0,0,0.0
401320624,2021-06-12,22021,Regular Season,8,6,W,80,64,1,1489.6817618054945,1489.9918560808487,0.5989680949863015,4.0,2.0,0,0,2.0
401320627,2021-06-13,22021,Regular Season,17,3,W,85,78,1,1549.8129308231687,1504.968347185344,0.6595071228130971,8.0,2.0,0,0,6.0
401320628,2021-06-13,22021,Regular Season,11,9,L,83,85,0,1487.0291438874683,1504.8264407873555,0.5745654539414203,2.0,8.0,0,0,-6.0
401320625,2021-06-13,22021,Regular Season,18,14,L,66,89,0,1561.4622263641802,1564.4235297618204,0.5952967067318006,8.0,2.0,0,0,6.0
401320626,2021-06-13,22021,Regular Season,20,16,W,101,78,1,1491.7601024773276,1474.0525946688904,0.6236066357347056,2.0,3.0,0,0,-1.0
401320629,2021-06-15,22021,Regular Season,5,14,L,70,87,0,1414.4834062111545,1576.3294638964564,0.3708181816626058,3.0,2.0,0,0,1.0
401320630,2021-06-15,22021,Regular Season,8,19,L,89,105,0,1497.7023999057683,1467.5076599469471,0.6403232202921934,3.0,3.0,0,0,0.0
401320631,2021-06-15,22021,Regular Season,17,9,W,100,78,1,1556.622788366907,1516.317749866184,0.653614824186305,2.0,2.0,0,0,0.0
401320632,2021-06-16,22021,Regular Season,6,11,W,85,80,1,1481.9712179805747,1475.53783480864,0.6082556761755258,4.0,3.0,0,0,1.0
401320636,2021-06-17,22021,Regular Season,3,8,L,73,85,0,1498.158489641606,1484.8959354999247,0.617582044381702,4.0,2.0,0,0,2.0
401320633,2021-06-17,22021,Regular Season,5,14,L,69,79,0,1407.0670425779022,1583.7458275297083,0.3511262209300415,2.0,2.0,0,0,0.0
401320634,2021-06-17,22021,Regular Season,16,20,W,96,93,1,1466.5247273835846,1499.287969762633,0.5533837572429371,4.0,4.0,0,0,0.0
401320635,2021-06-17,22021,Regular Season,19,18,W,81,75,1,1480.314124352791,1549.5562922295442,0.5010906063641439,2.0,4.0,0,0,-2.0
401320637,2021-06-17,22021,Regular Season,17,9,W,103,76,1,1563.5504918831805,1509.39004634991,0.6714443652580553,2.0,2.0,0,0,0.0
401320638,2021-06-18,22021,Regular Season,6,11,L,66,80,0,1489.806104457064,1467.7029483321508,0.6295270488872154,2.0,2.0,0,0,0.0
401320640,2021-06-19,22021,Regular Season,16,5,W,82,77,1,1475.457052238726,1400.044518159301,0.6978460435197511,2.0,2.0,0,0,0.0
401320641,2021-06-19,22021,Regular Season,3,8,W,95,77,1,1485.8068487539722,1497.2475763875586,0.5834845139218027,2.0,2.0,0,0,0.0
401320639,2021-06-19,22021,Regular Season,19,18,W,91,81,1,1490.292312225508,1539.578104356827,0.5297748707298603,2.0,2.0,0,0,0.0
401320642,2021-06-20,22021,Regular Season,6,9,L,73,76,0,1477.2155634793198,1502.8189336550713,0.5635463857228942,2.0,3.0,0,0,-1.0
401320643,2021-06-22,22021,Regular Season,18,3,W,80,70,1,1530.1736017714245,1494.137158475536,0.6480308638189084,3.0,3.0,0,0,0.0
401320644,2021-06-22,22021,Regular Season,9,19,L,72,92,0,1514.0898613695292,1499.6968148109108,0.6191178016123323,2.0,3.0,0,0,-1.0
401320645,2021-06-22,22021,Regular Season,14,16,L,83,87,0,1590.7683519483094,1481.500131368331,0.7372939302510784,5.0,3.0,0,0,2.0
401320646,2021-06-23,22021,Regular Season,20,8,L,85,87,0,1490.355644907492,1488.9172666659947,0.6013833392967753,6.0,4.0,0,0,2.0
401320648,2021-06-24,22021,Regular Season,9,19,L,68,91,0,1501.7075053372826,1512.0791708431575,0.5849793538555564,2.0,2.0,0,0,0.0
401320649,2021-06-24,22021,Regular Season,6,16,W,89,82,1,1465.944635764862,1496.2460099733526,0.5568835772862039,4.0,2.0,0,0,2.0
401320647,2021-06-24,22021,Regular Season,5,3,L,64,89,0,1394.0014390296965,1487.0977757519142,0.4668105747582665,5.0,2.0,0,0,3.0
401320650,2021-06-25,22021,Regular Season,8,17,W,90,89,1,1500.9449334519302,1570.1216045780193,0.5011848632768967,2.0,8.0,0,0,-6.0
401320651,2021-06-26,22021,Regular Season,3,16,W,85,74,1,1496.4339872470796,1487.3836815190766,0.6118392766584678,2.0,2.0,0,0,0.0
401320652,2021-06-26,22021,Regular Season,20,9,L,78,101,0,1478.3279781215565,1490.0079182601714,0.583149818382584,3.0,2.0,0,0,1.0
401320654,2021-06-27,22021,Regular Season,18,19,W,74,58,1,1537.2129844950462,1523.7787579202686,0.6178154109821132,5.0,3.0,0,0,2.0
401320655,2021-06-27,22021,Regular Season,17,14,W,95,92,1,1560.1453018435573,1576.022473343288,0.577265028613101,2.0,5.0,0,0,-3.0
401320653,2021-06-27,22021,Regular Season,11,6,W,88,79,1,1480.293489309895,1474.806964219138,0.606956150911298,9.0,3.0,0,0,6.0
401320657,2021-06-29,22021,Regular Season,16,18,L,71,90,0,1479.620467052246,1544.856676275404,0.5068552164309583,3.0,2.0,0,0,1.0
401320656,2021-06-29,22021,Regular Season,20,9,W,73,69,1,1466.6649817539048,1501.670914627823,0.5501909012102605,3.0,3.0,0,0,0.0
401320660,2021-06-30,22021,Regular Season,6,17,L,75,99,0,1466.9460872373638,1568.6000012712952,0.454571978720775,3.0,3.0,0,0,0.0
401320659,2021-06-30,22021,Regular Season,11,8,L,76,82,0,1488.154366291669,1510.9212361863922,0.5675582502823239,3.0,5.0,0,0,-2.0
401320658,2021-06-30,22021,Regular Season,3,19,L,81,91,0,1504.1972017139103,1516.1350661399108,0.5827888562732385,4.0,3.0,0,0,1.0
401320661,2021-07-01,22021,Regular Season,5,18,L,80,86,0,1384.665227534531,1554.9937806040232,0.3594993938246234,7.0,2.0,0,0,5.0
401320662,2021-07-02,22021,Regular Season,3,19,W,100,91,1,1492.5414245884456,1527.7908432653755,0.5498440034761072,2.0,2.0,0,0,0.0
401320663,2021-07-02,22021,Regular Season,6,17,L,58,66,0,1457.8546476629483,1577.6914408457108,0.4287669735388961,2.0,2.0,0,0,0.0
401320665,2021-07-02,22021,Regular Season,14,20,W,91,88,1,1567.56777391555,1475.6611637296996,0.717482764759512,5.0,3.0,0,0,2.0
401320666,2021-07-03,22021,Regular Season,5,18,W,73,67,1,1377.4752396580384,1562.1837684805157,0.340668771327218,2.0,2.0,0,0,0.0
401320667,2021-07-03,22021,Regular Season,9,16,W,82,79,1,1492.6747326520283,1469.483362723627,0.6309868280794076,4.0,4.0,0,0,0.0
401320664,2021-07-03,22021,Regular Season,11,8,L,68,99,0,1476.8032012860226,1522.2724011920386,0.5352441133172035,3.0,3.0,0,0,0.0
401320669,2021-07-04,22021,Regular Season,6,14,L,74,84,0,1449.2793081921704,1573.2181186203595,0.4229934919571341,2.0,2.0,0,0,0.0
401320668,2021-07-04,22021,Regular Season,17,20,W,118,95,1,1586.2667803164886,1470.0108190248898,0.7450104155542813,2.0,2.0,0,0,0.0
401320670,2021-07-05,22021,Regular Season,9,3,W,99,96,1,1500.0549960904402,1501.5445445189234,0.5973361345507475,2.0,3.0,0,0,-1.0
401320671,2021-07-07,22021,Regular Season,8,3,W,85,79,1,1532.9772834583828,1493.4912672099383,0.6525466392886665,4.0,2.0,0,0,2.0
401320672,2021-07-07,22021,Regular Season,17,11,L,90,99,0,1591.366572005403,1466.0983190196785,0.7547399952621434,3.0,4.0,0,0,-1.0
